## CRISPR同定 Identification of host CRISPR sequces
Name	Link	Reference link	Kazumax	Release	Note			Name
CRISPRDetect	http://crispr.otago.ac.nz/CRISPRDetect/predict_crispr_array.html	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-016-2627-0	https://kazumaxneo.hatenablog.com/entry/2019/12/15/130706	2016				
MinCED	https://github.com/ctSkennerton/minced							
CRISPR Recognition Tool(CRT)	http://www.room220.com/crt/	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-8-209		2007				
crass	https://github.com/ctskennerton/Crass							
CRISPRCasFinder	https://crisprcas.i2bc.paris-saclay.fr/CrisprCasFinder/Index							
CRISPRCasTyper	https://crisprcastyper.crispr.dk/	https://www.liebertpub.com/doi/10.1089/crispr.2020.0059						
AcrFinder	https://bcb.unl.edu/AcrFinder/	https://academic.oup.com/nar/article/48/W1/W358/5836766		2020				
SpacePHARER	https://github.com/soedinglab/spacepharer	https://academic.oup.com/bioinformatics/article/37/19/3364/6207963		2021				
CRT	http://www.room220.com/crt//	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-8-209		2007				
PILER-CR	http://www.drive5.com/pilercr.	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-8-18		2007				
CRISPRleader	https://github.com/BackofenLab/CRISPRleader	https://doi.org/10.1093/bioinformatics/btw454		2016				
